Categoria,Tipo,Algoritmo,Média,Mediana,Desvio Padrão,Mínimo,Máximo,N
pequeno,crescente,SelectionSort,30.6784367,29.664655500000002,4.970653468097844,26.60695,53.386678,30
pequeno,crescente,CycleSort,17.699722133333335,17.050248,2.4701421217999573,15.452815,27.48538,30
pequeno,decrescente,SelectionSort,28.5462391,27.6827435,5.097785328714735,20.252235,40.302615,30
pequeno,decrescente,CycleSort,37.027008099999996,36.4819065,5.615403691853988,21.517093,46.837018,30
pequeno,aleatorio,SelectionSort,19.5044692,18.811844999999998,2.2118680776476203,17.778901,29.461176,30
pequeno,aleatorio,CycleSort,42.27597506666667,41.7503085,2.1573816550714326,40.101234,50.486996,30
medio,crescente,SelectionSort,126.87481413333333,123.7229005,11.943343564238933,108.183536,159.890041,30
medio,crescente,CycleSort,70.3581223,69.8076285,5.120125593806249,60.881171,83.85229,30
medio,decrescente,SelectionSort,106.18065943333333,102.6729005,11.883427899647302,86.887764,130.286326,30
medio,decrescente,CycleSort,132.1413288,125.884567,21.78261898060055,87.092621,172.932661,30
medio,aleatorio,SelectionSort,83.09437113333334,83.492801,5.351200363907297,74.312235,94.069905,30
medio,aleatorio,CycleSort,184.6655557,181.9320985,12.847501063944321,162.889012,213.936002,30
grande,crescente,SelectionSort,253.39941346666666,244.822743,23.28640740805296,230.321987,318.039952,30
grande,crescente,CycleSort,4537650.378558767,138.87345599999998,24852591.031044777,131.101234,136123456.0,30
grande,decrescente,SelectionSort,203.57523696666667,187.623188,39.332580291159466,168.587218,284.248644,30
grande,decrescente,CycleSort,249.23003886666666,238.9290115,32.50439069482885,206.469421,318.79135,30
grande,aleatorio,SelectionSort,225.05291103333334,189.92883799999998,83.20453759259087,160.456789,467.907364,30
grande,aleatorio,CycleSort,585.2500652,509.563152,144.42888201868433,427.624825,1031.95112,30
