Algoritmo,Execucao,Tempo(segundos)
SelectionSort,1,253.047408
SelectionSort,2,204.802035
SelectionSort,3,259.296128
SelectionSort,4,248.160480
SelectionSort,5,163.875727
SelectionSort,6,163.779144
SelectionSort,7,194.358928
SelectionSort,8,194.215680
SelectionSort,9,204.193656
SelectionSort,10,192.803247
SelectionSort,11,202.086132
SelectionSort,12,181.785932
SelectionSort,13,201.144758
SelectionSort,14,222.380962
SelectionSort,15,210.264383
SelectionSort,16,191.250860
SelectionSort,17,193.060494
SelectionSort,18,251.856288
SelectionSort,19,251.628425
SelectionSort,20,251.585506
SelectionSort,21,249.495407
SelectionSort,22,249.958525
SelectionSort,23,250.045636
SelectionSort,24,266.314463
SelectionSort,25,281.015538
SelectionSort,26,286.047233
SelectionSort,27,286.078666
SelectionSort,28,256.315878
SelectionSort,29,255.591071
SelectionSort,30,256.035622
CycleSort,1,140.685339
CycleSort,2,119.114295
CycleSort,3,160.547254
CycleSort,4,109.969623
CycleSort,5,110.321670
CycleSort,6,92.159305
CycleSort,7,120.911358
CycleSort,8,119.632656
CycleSort,9,89.578730
CycleSort,10,158.874046
CycleSort,11,90.482394
CycleSort,12,89.840583
CycleSort,13,119.599769
CycleSort,14,154.090230
CycleSort,15,151.291304
CycleSort,16,119.198644
CycleSort,17,165.324960
CycleSort,18,143.051030
CycleSort,19,142.294354
CycleSort,20,141.243356
CycleSort,21,141.902062
CycleSort,22,141.166829
CycleSort,23,141.027793
CycleSort,24,165.842950
CycleSort,25,167.251437
CycleSort,26,164.778606
CycleSort,27,151.685502
CycleSort,28,145.295129
CycleSort,29,146.402249
CycleSort,30,146.542186
